pi,year,doi,title,title_clean
John J Stevens,2021,10.1002/cpt.2143,Individual atrasentan exposure is associated with long-term kidney and heart failure outcomes in patients with type 2 diabetes and chronic kidney disease,individual atrasentan exposure is associated with long-term kidney and heart failure outcomes in patients with type 2 diabetes and chronic kidney disease
John J Stevens,2022,10.1016/j.chom.2022.11.012,"Enhanced Neutralization Resistance of SARS-CoV-2 Omicron Subvariants BQ.1, BQ.1.1, BA.4.6, BF.7, and BA.2.75.2","enhanced neutralization resistance of sars-cov-2 omicron subvariants bq.1, bq.1.1, ba.4.6, bf.7, and ba.2.75.2"
John J Stevens,2017,10.3322/caac.21404,"Charting the future of cancer health disparities research: A position statement from the American Association for Cancer Research, the American Cancer Society, the American Society of Clinical Oncology, and the National Cancer Institute","charting the future of cancer health disparities research: a position statement from the american association for cancer research, the american cancer society, the american society of clinical oncology, and the national cancer institute"
John J Stevens,2012,10.1186/bcr3228,"Height, adiposity and body fat distribution and breast density in young women","height, adiposity and body fat distribution and breast density in young women"
John J Stevens,2023,10.3847/1538-4357/acdcf9,Eta Carinae:The Dissipating Occulter Is an Extended Structure,eta carinae:the dissipating occulter is an extended structure
John J Stevens,2022,10.1099/mgen.0.000784,Targeted control of pneumolysin production by a mobile genetic element in Streptococcus pneumoniae,targeted control of pneumolysin production by a mobile genetic element in streptococcus pneumoniae
John J Stevens,2012,10.1029/2011gl050196,Linkages between the cold summer mesopause and thermospheric zonal mean circulation,linkages between the cold summer mesopause and thermospheric zonal mean circulation
John J Stevens,2016,10.1186/s12915-016-0261-6,What is memory? The present state of the engram,what is memory? the present state of the engram
John J Stevens,2009,10.1186/1471-2253-9-2,Efficacy of sub-Tenon's block using an equal volume of local anaesthetic administered either as a single or as divided doses. A randomised clinical trial,efficacy of sub-tenon's block using an equal volume of local anaesthetic administered either as a single or as divided doses. a randomised clinical trial
John J Stevens,2016,10.1371/journal.pone.0010855,Common variation in ISL1 confers genetic susceptibility for human congenital heart disease,common variation in isl1 confers genetic susceptibility for human congenital heart disease
Shuaizhang Feng,2022,10.1016/j.chieco.2022.101791,Heterogeneous firm responses to increases in high-skilled workers: Evidence from China's college enrollment expansion,heterogeneous firm responses to increases in high-skilled workers: evidence from china's college enrollment expansion
Shuaizhang Feng,2008,10.3386/w14247,Estimating Trends in US Income Inequality Using the Current Population Survey:  The Importance of Controlling for Censoring,estimating trends in us income inequality using the current population survey:  the importance of controlling for censoring
Shuaizhang Feng,2009,10.2139/ssrn.1431352,Measuring inequality using censored data: a multiple imputation approach,measuring inequality using censored data: a multiple imputation approach
Shuaizhang Feng,2011,10.1007/s10888-010-9131-6,Estimating trends in US income inequality using the Current Population Survey: the importance of controlling for censoring,estimating trends in us income inequality using the current population survey: the importance of controlling for censoring
Shuaizhang Feng,2022,10.1016/j.ebiom.2022.104225,Fatality assessment and variant risk monitoring for COVID-19 using three new hospital occupancy related metrics,fatality assessment and variant risk monitoring for covid-19 using three new hospital occupancy related metrics
Richard D Alba,2022,10.1177/01708406221094194,Exploring citizen participation in smart city development in Mexico City: an institutional logics approach,exploring citizen participation in smart city development in mexico city: an institutional logics approach
Richard D Alba,2022,10.1177/17579139221118771,Cross-sectional and longitudinal relationships between cardiorespiratory fitness and health-related quality of life in primary school children in England: the mediating role of psychological correlates of physical activity,cross-sectional and longitudinal relationships between cardiorespiratory fitness and health-related quality of life in primary school children in england: the mediating role of psychological correlates of physical activity
Richard D Alba,2024,10.3390/jpm14121144,Transcranial Magnetic Stimulation–Electroencephalography (TMS-EEG) in Neurosurgery: Unexplored Path Towards Personalized Brain Surgery,transcranial magnetic stimulation–electroencephalography (tms-eeg) in neurosurgery: unexplored path towards personalized brain surgery
Richard D Alba,2019,10.3389/fmicb.2019.01089,Differential regulation of genes for cyclic-di-GMP metabolism orchestrates adaptive changes during rhizosphere colonization by Pseudomonas fluorescens,differential regulation of genes for cyclic-di-gmp metabolism orchestrates adaptive changes during rhizosphere colonization by pseudomonas fluorescens
Richard D Alba,2021,10.1017/s0950268821001734,"Housing, Sanitation and Living Conditions Affecting SARS-CoV-2 Prevention Interventions in 54 African Countries","housing, sanitation and living conditions affecting sars-cov-2 prevention interventions in 54 african countries"
Richard D Alba,2006,10.1177/1468796806063754,The dominant ethnic moment: towards the abolition of 'whiteness'?,the dominant ethnic moment: towards the abolition of 'whiteness'?
Richard D Alba,2009,10.2139/ssrn.1543784,Immigration Regimes and Schooling Regimes: Which Countries Promote Successful Immigrant Incorporation?,immigration regimes and schooling regimes: which countries promote successful immigrant incorporation?
Richard D Alba,2019,10.1038/s41467-019-12176-8,Australian vegetated coastal ecosystems as global hotspots for climate change mitigation,australian vegetated coastal ecosystems as global hotspots for climate change mitigation
Richard D Alba,2010,10.1186/1741-7007-8-13,Stone formation in peach fruit exhibits spatial coordination of the lignin and flavonoid pathways and similarity to Arabidopsis dehiscence,stone formation in peach fruit exhibits spatial coordination of the lignin and flavonoid pathways and similarity to arabidopsis dehiscence
Richard D Alba,2020,10.1183/16000617.0287-2020,Updated guidance on the management of COVID-19:from an American Thoracic Society/European Respiratory Society coordinated International Task Force (29 July 2020),updated guidance on the management of covid-19:from an american thoracic society/european respiratory society coordinated international task force (29 july 2020)
Richard D Alba,2021,10.1056/nejmsr2105280,SARS-CoV-2 Variants and Vaccines.,sars-cov-2 variants and vaccines.
Richard D Alba,2023,10.1107/s1600577523003910,A MHz X-ray diffraction set-up for dynamic compression experiments in the diamond anvil cell,a mhz x-ray diffraction set-up for dynamic compression experiments in the diamond anvil cell
Richard D Alba,2017,10.1136/annrheumdis-2014-207190,A deletion at Adamts9-magi1 Locus is associated with psoriatic arthritis risk,a deletion at adamts9-magi1 locus is associated with psoriatic arthritis risk
Richard D Alba,2011,10.1371/journal.pone.0021507,New Structural and Functional Contexts of the Dx[DN]xDG Linear Motif: Insights into Evolution of Calcium-Binding Proteins,new structural and functional contexts of the dx[dn]xdg linear motif: insights into evolution of calcium-binding proteins
Richard D Alba,2023,10.1158/1078-0432.ccr-23-1696,Olaparib and celarasertib (AZD6738) in patients with triple negative advanced breast cancer: results from Cohort E of the plasmaMATCH trial (CRUK/15/010),olaparib and celarasertib (azd6738) in patients with triple negative advanced breast cancer: results from cohort e of the plasmamatch trial (cruk/15/010)
Richard D Alba,2017,10.1093/ndt/gfw264,Safety of intravenous ferric carboxymaltose versus oral iron in patients with nondialysis-dependent CKD: an analysis of the 1-year FIND-CKD trial.,safety of intravenous ferric carboxymaltose versus oral iron in patients with nondialysis-dependent ckd: an analysis of the 1-year find-ckd trial.
Richard D Alba,2023,10.1186/s13073-023-01173-8,Rare predicted loss-of-function variants of type I IFN immunity genes are associated with life-threatening COVID-19,rare predicted loss-of-function variants of type i ifn immunity genes are associated with life-threatening covid-19
Richard D Alba,2019,10.1183/13993003.00453-2019,Epithelial dysregulation in obese severe asthmatics with gastro-oesophageal reflux,epithelial dysregulation in obese severe asthmatics with gastro-oesophageal reflux
Richard D Alba,2018,10.1509/jim.16.0129,An Assessment of the Exporting Literature: Using Theory and Data to Identify Future Research Directions,an assessment of the exporting literature: using theory and data to identify future research directions
Richard D Alba,2020,10.17863/cam.75993,Confirmation of the Cardioprotective Effect of MitoGamide in the Diabetic Heart,confirmation of the cardioprotective effect of mitogamide in the diabetic heart
Richard D Alba,2015,10.1186/s13054-015-1055-x,Discordant identification of pediatric severe sepsis by research and clinical definitions in the SPROUT international point prevalence study,discordant identification of pediatric severe sepsis by research and clinical definitions in the sprout international point prevalence study
Richard D Alba,2020,10.1126/science.abd4570,Inborn errors of type I IFN immunity in patients with life-threatening COVID-19.,inborn errors of type i ifn immunity in patients with life-threatening covid-19.
Richard D Alba,2021,10.17863/cam.79853,Association between convalescent plasma treatment and mortality in COVID-19: a collaborative systematic review and meta-analysis of randomized clinical trials.,association between convalescent plasma treatment and mortality in covid-19: a collaborative systematic review and meta-analysis of randomized clinical trials.
